Date,Open,High,Low,Close,Adj Close,Volume
2/7/2006,63,63.16,62.5,62.549999,44.669655,570000
2/8/2006,62.619999,63.09,62.505001,63,44.991016,396400
2/9/2006,63.174999,63.455002,62.82,62.880001,44.905331,213000
2/10/2006,62.830002,63.130001,62.404999,63.009998,44.99815,359000
2/13/2006,62.970001,62.970001,62.544998,62.724998,44.794632,334200
2/14/2006,62.724998,63.474998,62.650002,63.32,45.219555,131000
2/15/2006,63.330002,63.610001,63.224998,63.560001,45.390953,204600
2/16/2006,63.665001,64.105003,63.639999,64.055,45.744434,194200
2/17/2006,64.089996,64.150002,63.875,63.98,45.690872,240600
2/21/2006,64.175003,64.275002,63.735001,63.799999,45.562344,294200
2/22/2006,63.845001,64.375,63.845001,64.300003,45.919418,287600
2/23/2006,64.18,64.419998,63.970001,64.139999,45.805138,153800
2/24/2006,64.07,64.349998,64,64.239998,45.876553,180400
2/27/2006,64.349998,64.650002,64.349998,64.425003,46.008671,460600
2/28/2006,64.300003,64.339996,63.724998,63.790001,45.555191,358400
3/1/2006,64.074997,64.449997,63.895,64.349998,45.955105,216400
3/2/2006,64.25,64.379997,64.004997,64.305,45.922997,148800
3/3/2006,64.129997,64.714996,64.099998,64.199997,45.848003,323200
3/6/2006,64.32,64.32,63.634998,63.73,45.51236,279800
3/7/2006,63.575001,63.654999,63.325001,63.470001,45.326668,218400
3/8/2006,63.360001,63.744999,63.099998,63.650002,45.455219,491800
3/9/2006,63.744999,63.875,63.305,63.310001,45.212402,258400
3/10/2006,63.294998,63.919998,63.25,63.805,45.56591,246800
3/13/2006,64.089996,64.135002,63.810001,63.959999,45.676605,309200
3/14/2006,63.994999,64.625,63.825001,64.620003,46.147926,331000
3/15/2006,64.574997,65,64.495003,64.910004,46.355038,341800
3/16/2006,65.125,65.294998,65,65.050003,46.455002,210000
3/17/2006,65.080002,65.260002,65.004997,65.099998,46.490738,262600
3/20/2006,65.074997,65.074997,64.68,64.699997,46.392471,268800
3/21/2006,64.705002,65.065002,64.254997,64.339996,46.134346,247000
3/22/2006,64.375,64.790001,64.309998,64.730003,46.414005,252200
3/23/2006,64.650002,64.739998,64.455002,64.714996,46.403255,295000
3/24/2006,64.745003,64.955002,64.535004,64.800003,46.464176,443800
3/27/2006,64.724998,64.830002,64.599998,64.754997,46.431934,240800
3/28/2006,64.824997,65,64.309998,64.375,46.159451,195800
3/29/2006,64.375,65.074997,64.375,64.974998,46.589684,175200
3/30/2006,65.044998,65.305,64.660004,64.800003,46.464176,203600
3/31/2006,64.925003,65.004997,64.584999,64.834999,46.489304,271600
4/3/2006,64.949997,65.294998,64.699997,64.764999,46.439098,173400
4/4/2006,64.875,65.214996,64.614998,65.139999,46.70797,207000
4/5/2006,65.18,65.495003,65.059998,65.379997,46.880074,317200
4/6/2006,65.385002,65.489998,65,65.349998,46.858566,223000
4/7/2006,65.495003,65.629997,64.580002,64.650002,46.356644,276600
4/10/2006,64.849998,64.934998,64.504997,64.735001,46.417583,381200
4/11/2006,64.885002,64.894997,63.939999,64.150002,45.998119,453600
4/12/2006,64.195,64.375,64.120003,64.279999,46.09132,346800
4/13/2006,64.050003,64.464996,63.990002,64.264999,46.080582,322200
4/17/2006,64.18,64.510002,63.904999,64.165001,46.008881,211600
4/18/2006,64.43,65.394997,64.419998,65.269997,46.801201,369600
4/19/2006,65.349998,65.555,65.110001,65.464996,46.941017,508200
